Aaron;M;s/o;s/s
Aaronit;M;s/o;s/s
Aba;F;s/o;s/s
Abaco;M;s/o;s/s
Abalen;M;s/o;s/s
Abbas;M;s/o;s/s
Abbie;F;s/o;s/s
Abbott;M;s/o;s/s
Abby;F;s/o;s/s
Abdala;M;s/o;s/s
Abdas;M;s/o;s/s
Abdecalas;M;s/o;s/s
Abdel;M;s/o;s/s
Abderico;M;s/o;s/s
Abdias;M;s/o;s/s
Abdiel;M;s/o;s/s
Abdieso;M;s/o;s/s
Abdo;M;s/o;s/s
Abdon;M;Hebreo;Siervo De Dios, Hijo De Hille I,  Y Oriundo De Piraton
Abdul;M;Arabe;Siervo De Dios.
Abdullah;M;s/o;s/s
Abe;M;s/o;s/s
Abel;M;s/o;s/s
Abelardo;M;Frances;Semejante A La Abeja, Relacion Hecha Porla Laboriosidad Del Animalito, El Gran Trabajador, Variacion De Eberardo
Abenamar;M;s/o;s/s
Abencio;M;s/o;s/s
Abeni;F;s/o;s/s
Aberardo;M;s/o;s/s
Abercio;M;Griego;El Primer Hijo
Abey;M;s/o;s/s
Abhay;M;s/o;s/s
Abi;A;s/o;s/s
Abia;F;s/o;s/s
Abibo;M;s/o;s/s
Abibon;M;s/o;s/s
Abie;M;s/o;s/s
Abiel;M;s/o;s/s
Abigail;F;s/o;s/s
Abijah;M;s/o;s/s
Abijail;F;s/o;s/s
Abilio;M;s/o;s/s
Abimael;M;s/o;s/s
Abira;F;s/o;s/s
Abisai;M;s/o;s/s
Abner;M;Hebreo;El Padre (dios), Hijo De Ner, De La Tribude Benjamin, Por Lo Tanto Sobrino De Saul. A Su Muerte David Le Dedicouna Hermosa Lamentacion
Abra;F;s/o;s/s
Abraham;M;Hebreo;"El Padre (dios) Es Excelso, El Padre Demuchos Pueblos, Se Lo Llama "" El Hebreo"" Lo Que Segun La Genealogia Bi-blica Significa Descendiente De Eber"
Abrahamitas;M;s/o;s/s
Abrahan;M;s/o;s/s
Abram;M;s/o;s/s
Abran;M;s/o;s/s
Abril;F;Etrusco;s/s
Abryl;F;s/o;s/s
Absalon;M;Hebreo;Padre Y Señor De La Paz
Abu;M;s/o;s/s
Abudemio;M;s/o;s/s
Abundancio;M;Latino;Rico, Acaudalado
Abundio;M;Latino;s/s
Acabi;F;s/o;s/s
Acacia;F;s/o;s/s
Acacio;M;Griego;Sin Malicia, Honrado, Inocente. Lo Llevaronalgunos Santos Orientales
Acañir;A;s/o;s/s
Acantha;F;s/o;s/s
Acaropita;F;s/o;s/s
Acato;M;s/o;s/s
Accalia;F;s/o;s/s
Accas;M;s/o;s/s
Accio;M;s/o;s/s
Acdel;M;s/o;s/s
Ace;M;s/o;s/s
Acelin;M;s/o;s/s
Acepimas;M;s/o;s/s
Acilino;M;s/o;s/s
Acindino;M;s/o;s/s
Acira;F;s/o;s/s
Acisclo;M;Latino;"Del Latin ""acisculus"", Pico Para Labrarpiedras"
Ackerley;M;s/o;s/s
Acnin;A;s/o;s/s
Acucio;M;s/o;s/s
Acursio;M;Latino;El Que Se Encamina Hacia Dios
Ada;F;Hebreo;Dios Te Ha Ordenado. Una De Las Esposasde Lamek, Madre De Yabal
Adabella;F;s/o;s/s
Adah;F;s/o;s/s
Adair;M;s/o;s/s
Adala;M;s/o;s/s
Adalberto;M;Godo;"Hombre Noble, El Brillo De La Nobleza.Tiene Como Variedad A ""edelberto""."
Adalgisa;F;Germanico;Lanza De Noble
Adalia;F;s/o;s/s
Adalid;M;s/o;s/s
Adalino;M;s/o;s/s
